EventId,EventTemplate,Occurrences
f11d4f18,FileNotFoundError: [Errno 2] No such file or directory: 'FrontUnit_1500/setup.cmxsetup',1
3cdb6887,"[warning ] Failed GET http://localhost:7777/notebooks/tree?token=instrument (elapsed=0.00508): ConnectionError(MaxRetryError(""HTTPConnectionPool(host='localhost', port=7777): Max retries exceeded with url: /notebooks/tree?token=instrument (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f7d49519630>: Failed to establish a new connection: [Errno 111] Connection refused'))"")) context=_setup | get_jupyter_notebook_status | is_running pathname=/usr/lib/callysto/venv/lib/python3.10/site-packages/rs_callysto/notebook_server_controller.py lineno=659",1
f31c60aa,<*> ../../pcsc-lite-1.9.0/src/winscard.c:286:SCardConnect() Error Reader Exclusive,60
4f52a2a8,RsDeviceStarter[3219]: WARNING: in CRSProductManager.cpp at HandleStartupWarning():2970: [SWP_OPM_Result] Startup Warnings occurred! Please check log file '/home/instrument/fw/log/2023-11-09T13-11-48Z/StartupErrors.txt',1
27a0c988,WARNING: in CRSProductManager.cpp at HandleStartupWarning():2970: [SWP_OPM_Result] Startup Warnings occurred! Please check log file '/home/instrument/fw/log/2023-11-09T13-11-48Z/StartupErrors.txt',1
d9ff4af7,RsDeviceStarter[3219]: WARNING: in CRSScpiUnitSuffix.cpp at SetOwnUnitCatId():256: [unknown thread name] pIBase != NULL Unit-Linkage is invalid,11
9cdb67e3,WARNING: in CRSScpiUnitSuffix.cpp at SetOwnUnitCatId():256: [unknown thread name] pIBase != NULL Unit-Linkage is invalid,11
507c2f4c,ERROR @/home/integration_mmi/jenkins/workspace/mrt.base.fsw_release_5.0.60-ci/1cm_fsw_base_wm/fwa/rs.cmwbase.fsw/fswselfalignment/task_service.cpp:309 Expected files do not exist!;/home/instrument/fw/system/CorrdataWS/RFU300/RFUNIT_1222.1020.02_100131/CDV/SA/V6/CUR/tx_meta.csv,1
7b5763f5,RegisterSecondaryAlfManager name:DAU address:<*> status:18 error:Invalid Setup error adding slave <*>,1
c9c7eab9,Socket: connect operation failed with error 110,2
7fe303f7,ERROR: Caught exception while processing cell add/update '//mrt/0/testenvironment/0/signaling/0/sri/0/asservice/0/nrservice/0/cell/0': Cell //mrt/0/testenvironment/0/signaling/0/sri/0/asservice/0/nrservice/0/cell/0 is missing rach_config_common,1
cbca8e61,ERROR: Recall failed: The given file does not exist: /home/instrument/fw/system/Restauration/PersistenceClients/csp_settings.dat,1
03f783fc,<*> [DeviceApiSubscriber ] ERROR: ----------------------------------------------------------------------,32
bf0492df,"<*> [DeviceApiSubscriber ] ERROR: MRDC Band Combination error: Could not parse the ""SUL"" in <*>",32
8515778b,<*> [DeviceApiSubscriber ] ERROR: MRDC Band Combination message:,32
16dd5682,2023-11-09T13:15:26.011816Z [EngineCommander ] ERROR: Unsupported Engine state Start,1
62037388,"PIAS: <*> << 0,""No error""\n",2
edd3dfa6,PIAS: Socket[3]: Error: Data channel closed with error 104,1
f8379ea6,"PIAS: <*> SCPI-Error: -113,""Undefined <*>",21
3b6c7910,PIAS: <*> Error: invalid command <*>,21
38dda80a,Invalid user <*> from <*> port <*>,7
31cd7a89,Connection closed by invalid user <*> <*> port <*> [preauth],7
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,2
2702de18,Failed none for invalid user <*> from <*> port <*> ssh2,3
099a7b10,PIAS: Socket[7] >> DIAG:PIAS:ID?\PIAS: Error: accept() failed with error 22,1
823a9263,ERROR: Client(500: tcp_v6://[fe80::02e0:33ff:fe0b:b5bf%eth_internal]:21840): Connection broken (),1
b79b4e77,"RsDeviceStarter[3219]: WARNING: in CRsTimeLinux.cpp at GetNTPEnabled():443: [SWP_Timer] DBus error: org.freedesktop.systemd1.ShuttingDown (Refusing activation, D-Bus is shutting down.)",4
47d4bf45,"WARNING: in CRsTimeLinux.cpp at GetNTPEnabled():443: [SWP_Timer] DBus error: org.freedesktop.systemd1.ShuttingDown (Refusing activation, D-Bus is shutting down.)",4
29d441bc,Task.Delay error! TaskCanceledException: System.Threading.Tasks.TaskCanceledException: A task was canceled.,2
5e50a317,"<*> level=warning msg=""Failed to delete conntrack state for <*> invalid argument""",3
66a25f54,RsDeviceStarter[3219]: WARNING: in cdevicefootprintprovider.cpp at getNameSpaceVersions():45: [unknown thread name] RsAlf::AlfManagerConfigurationClient::getNamespaceVersions returnd error code: 2 - Connection to local AlfManager could not be initialized.,1
6d305684,WARNING: in cdevicefootprintprovider.cpp at getNameSpaceVersions():45: [unknown thread name] RsAlf::AlfManagerConfigurationClient::getNamespaceVersions returnd error code: 2 - Connection to local AlfManager could not be initialized.,1
e579c8c0,[28]last error:,1
7a929bcc,<ErrorCode>No error. Some restrictions apply.</ErrorCode>,2
914f879e,</Error>,2
b13f757f,"<Error ErrorLevel=""RepairedError"" Timestamp=""2023-11-10T05:49:09.063Z"">",1
3f59712f,</Errors>,1
036ae2b6,</CompassErrorLog>,1
bcd65e6e,Type = ERROR_REPAIR,1
b0af403d,"time=""2023-11-10T05:49:11.963466786Z"" level=info msg=""stopping event stream following graceful shutdown"" error=""<nil>"" module=libcontainerd namespace=moby",1
